trial_id,testbed,group,attack_id,template_id,attacker_goal_selected,monitor_decision,relation_decision,gateway_decision,service_effect,reject_reason,statement_digest,evidence_class
cloud-A1-066,cloud,G1,A1,cloud-A1-template-15,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,ce5c7fa6beccd1f2e2335c223b96fb4b6625465899321f2af076678f0447fced,executed_reference_runtime
cloud-A1-067,cloud,G1,A1,cloud-A1-template-16,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,611999b2832e525ae9a7375af95c88236f29bdc4d846371a40a9360520cb1564,executed_reference_runtime
cloud-A1-068,cloud,G1,A1,cloud-A1-template-17,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,bccffe3f0f15034ac85c8a819e3968a3031a19e6a60b40bfd8ceb2f7072bb574,executed_reference_runtime
cloud-A1-069,cloud,G1,A1,cloud-A1-template-18,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,c27babdd6b3344252660cb51067ab1da6eda3fff2f5540fe52f2af63425f56a4,executed_reference_runtime
cloud-A1-070,cloud,G1,A1,cloud-A1-template-19,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,d5262800b373222876340bec3e45e21792582ec64499c3c409e7ca9c07f813b4,executed_reference_runtime
cloud-A1-071,cloud,G1,A1,cloud-A1-template-20,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,081fa8cd5dc7468de26367b7cca30fce3aabf83509aa2ba8bbfb0de2b24ca4d1,executed_reference_runtime
cloud-A1-072,cloud,G1,A1,cloud-A1-template-21,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,22f18ae7df27b801f0641cdbcbf2e0b4148aca934f11894949f30e887d238ff3,executed_reference_runtime
cloud-A1-073,cloud,G1,A1,cloud-A1-template-22,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e8fea8b76a3def8a6a7e597ec9af4dde23fc8bc9e6497f9bc963ad010830fbde,executed_reference_runtime
cloud-A1-074,cloud,G1,A1,cloud-A1-template-23,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,76980d93b701e43be481702a084e5d3707e28044865c177bb80b27f612de9bde,executed_reference_runtime
cloud-A1-075,cloud,G1,A1,cloud-A1-template-24,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,6e143c7ba8fd8bca4e78ac06ffa4e913934d5f3fbacd8302d7c0cc39896c930e,executed_reference_runtime
